pid,category,eco
116080,Bakery and bread,0
116192,Bakery and bread,0
116371,Bakery and bread,0
116792,Home,0
116852,Bakery and bread,0
116871,Bakery and bread,0
117187,Bakery and bread,0
117545,Bakery and bread,0
117589,Bakery and bread,0
117745,Bakery and bread,0
117747,Bakery and bread,0
117795,Bakery and bread,0
117955,Bakery and bread,0
117958,Bakery and bread,0
117995,Bakery and bread,0
118026,Bakery and bread,0
118032,Bakery and bread,0
118062,Bakery and bread,0
118063,Bakery and bread,0
118083,Bakery and bread,0
118087,Bakery and bread,0
118088,Bakery and bread,0
118198,Bakery and bread,0
118201,Bakery and bread,0
118205,Bakery and bread,0
118219,Misc,0
118247,Bakery and bread,0
118453,Bakery and bread,0
118456,Bakery and bread,0
118484,Misc,0
118677,Bakery and bread,0
118982,Bakery and bread,0
119255,Misc,0
119297,Bakery and bread,0
119515,Bakery and bread,0
119608,Bakery and bread,0
119686,Bakery and bread,0
119687,Bakery and bread,0
119689,Bakery and bread,0
119696,Bakery and bread,0
119804,Bakery and bread,0
119809,Bakery and bread,0
119915,Bakery and bread,0
119965,Bakery and bread,0
120063,Bakery and bread,0
120195,Bakery and bread,0
120313,Bakery and bread,0
120390,Bakery and bread,0
120425,Bakery and bread,0
120427,Bakery and bread,0
120430,Bakery and bread,0
120544,Bakery and bread,0
120753,Bakery and bread,0
120777,Bakery and bread,0
121006,Bakery and bread,0
121008,Bakery and bread,0
121058,Bakery and bread,0
121498,Bakery and bread,0
121499,Bakery and bread,0
121641,Bakery and bread,0
121655,Bakery and bread,0
121657,Bakery and bread,0
121658,Bakery and bread,0
121659,Bakery and bread,0
121661,Bakery and bread,0
121663,Bakery and bread,0
121681,Bakery and bread,0
121736,Bakery and bread,0
121773,Bakery and bread,0
121963,Bakery and bread,0
121984,Bakery and bread,0
121985,Bakery and bread,0
121998,Bakery and bread,0
122125,Bakery and bread,0
122138,Bakery and bread,0
122233,Bakery and bread,0
122533,Bakery and bread,0
122547,Bakery and bread,0
122784,Bakery and bread,0
122946,Bakery and bread,0
123005,Bakery and bread,0
123022,Bakery and bread,0
123048,Bakery and bread,0
123083,Misc,0
123132,Bakery and bread,0
123138,Bakery and bread,0
123139,Bakery and bread,0
123140,Bakery and bread,0
123227,Bakery and bread,0
123470,Bakery and bread,0
123487,Bakery and bread,0
123532,Bakery and bread,0
123564,Bakery and bread,0
123700,Bakery and bread,0
123762,Bakery and bread,0
123802,Bakery and bread,0
124029,Bakery and bread,0
124261,Bakery and bread,0
124296,Bakery and bread,0
124524,Bakery and bread,0
124670,Bakery and bread,0
124783,Bakery and bread,0
125979,Bakery and bread,0
126118,Bakery and bread,0
126395,Bakery and bread,0
126602,Bakery and bread,0
126954,Bakery and bread,0
127171,Bakery and bread,0
127276,Bakery and bread,0
127308,Bakery and bread,0
127495,Bakery and bread,0
127735,Bakery and bread,0
127766,Bakery and bread,0
127936,Bakery and bread,0
127968,Bakery and bread,0
128132,Bakery and bread,0
128151,Bakery and bread,0
128305,Bakery and bread,0
128637,Bakery and bread,0
128672,Bakery and bread,0
128981,Bakery and bread,0
130225,Bakery and bread,0
130530,Bakery and bread,0
130730,Bakery and bread,0
130932,Bakery and bread,0
130961,Bakery and bread,0
131134,Bakery and bread,0
